Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.87022176508506E-06,-0.00639288068136572,0.00967770424608871,0,0,0,0.497669657505291,0.000851783180399219,6.46330143358181E-17,-6.23492759310972E-09,0.000500153741921466,-5.79025605586052E-06,0.00129789764708229,0,0,0,0,0,0,package://robot - new/meshes/base_link.STL,1,1,1,0.3,0,0,0,0,0,0,package://robot - new/meshes/base_link.STL,,front_frame-4;DC Motor Gearbox-2/motor-1;DC Motor Gearbox-5/motor-1;side_frame-1;side_frame-2;back_frame-1;M4X32 Copper piller-4;DC Motor Gearbox-3/motor-1;M4X32 Copper piller-5;M4X32 Copper piller-2;over_2base_frame-1;DC Motor Gearbox-5/Gearbox-1;under_base_frame-3;M4X32 Copper piller-1;DC Motor Gearbox-3/Gearbox-1;DC Motor Gearbox-1/Gearbox-1;DC Motor Gearbox-1/motor-1;DC Motor Gearbox-2/Gearbox-1;DC Motor Gearbox-2/output shaft-1;DC Motor Gearbox-1/output shaft-1;DC Motor Gearbox-5/output shaft-1;DC Motor Gearbox-3/output shaft-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_L1_link,-0.0216007758187577,3.75389996865039E-12,-9.22416777210389E-07,0,0,0,0.042474382918206,3.57500681796612E-06,-2.95472805667672E-16,1.17807360696107E-10,3.63018537089276E-06,-2.2638403941711E-15,3.63034395206029E-06,0,0,0,0,0,0,package://robot - new/meshes/wheel_L1_link.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://robot - new/meshes/wheel_L1_link.STL,,mecanum_wheel-7/Hexa Spindle-2;mecanum_wheel-7/wheel_L-1,Origin_wheel_L1_link,Axis_wheel_L1_link,wheel_L1_link,continuous,-0.066,-0.028021,-0.079221,-1.9687,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_L2_link,-0.0216007758188823,-4.42966605458672E-07,-8.09094121395626E-07,0,0,0,0.0424743829182387,3.57500681797244E-06,5.65740745429248E-11,1.03334158552787E-10,3.63022194074399E-06,6.67977120597043E-11,3.63030738224077E-06,0,0,0,0,0,0,package://robot - new/meshes/wheel_L2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/wheel_L2_link.STL,,mecanum_wheel-6/wheel_L-1;mecanum_wheel-6/Hexa Spindle-2,Origin_wheel_L2_joint,Axis_wheel_L2_joint,wheel_L2_joint,continuous,-0.066,-0.028021,0.045779,1.6739,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_R1_link,-0.0216007759027148,-4.42966605174178E-07,-8.09094120889087E-07,0,0,0,0.0424743829435536,3.57500682562334E-06,5.65740745433874E-11,1.03334158552633E-10,3.6302219525341E-06,6.67977120597837E-11,3.63030739403088E-06,0,0,0,0,0,0,package://robot - new/meshes/wheel_R1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/wheel_R1_link.STL,,mecanum_wheel-1/wheel_L-1;mecanum_wheel-1/Hexa Spindle-2,Origin_wheel_R1_link,Axis_wheel_R1_link,wheel_R1_link,continuous,0.066,-0.028021,-0.079221,-0.61592,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
wheel_R2_link,-0.0216007756058552,-4.42966605774392E-07,-8.09094122013188E-07,0,0,0,0.0424743828860133,3.57500682962755E-06,5.65740745428516E-11,1.03334158553143E-10,3.63022192320037E-06,6.67977120601013E-11,3.63030736469716E-06,0,0,0,0,0,0,package://robot - new/meshes/wheel_R2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/wheel_R2_link.STL,,mecanum_wheel-5/wheel_L-1;mecanum_wheel-5/Hexa Spindle-2,Origin_wheel_R2_joint,Axis_wheel_R2_joint,wheel_R2_joint,continuous,0.066,-0.028021,0.045779,2.7498,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
arm_base_link,0.000409242457633803,0.0100004891543178,-0.00064532833159375,0,0,0,0.0335569271624616,2.86466699656782E-06,1.44621279598399E-11,4.4862392905134E-08,6.35046586680548E-06,1.32542262641971E-10,5.6619535809459E-06,0,0,0,0,0,0,package://robot - new/meshes/arm_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/arm_base_link.STL,,servo_motor_horn-1,Origin_arm_base_joint,,arm_base_joint,fixed,-0.0097413,-0.00805,-0.06,1.5708,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
arm_link,-7.5764047813287E-16,0.0119191306326669,0,0,0,0,0.0161811130872279,3.3532986962083E-06,3.18702305929956E-21,-6.75641124333313E-21,9.34525230106503E-06,8.58840423453778E-22,1.11164067282418E-05,0,0,0,0,0,0,package://robot - new/meshes/arm_link.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://robot - new/meshes/arm_link.STL,,U Bracket-1,Origin_arm_joint,Axis_arm_joint,arm_joint,revolute,0.010991,0.01,-0.02715,-1.5708,0,-1.5393,arm_base_link,0,1,0,0,0,0,3.14,,,,,,,,
arm_link_2,-0.047845528679592,-0.000153782337675032,0.00102202919595453,0,0,0,0.0909540958388824,1.49540386290846E-05,-8.45529532700626E-08,5.44667922294372E-15,2.35225072608537E-05,-3.98052124604929E-16,1.49935446329835E-05,0,0,0,0,0,0,package://robot - new/meshes/arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/arm_link_2.STL,,servo_base_bracket1-1;servo_motor_2horn-1;servo_base_bracket1-2;servo_motor_2horn-2;U Bracket-2,Origin_arm_joint_2,Axis_arm_joint_2,arm_joint_2,continuous,0,0.03,0,-1.5708,0.013773,-1.5708,arm_link,0,0,1,0,0,0,3.14,,,,,,,,
gripper_base_link,3.68191968224893E-08,-0.0164423050943715,0.00137359079403292,0,0,0,0.0579011557758669,1.04429253549904E-05,1.50620194739418E-10,1.47707178304849E-11,1.34523506938754E-05,-1.58685694977155E-07,1.90358969764955E-05,0,0,0,0,0,0,package://robot - new/meshes/gripper_base_link.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://robot - new/meshes/gripper_base_link.STL,,U Bracket-2;servo_base_bracket1-4;gripper_motor-1;Gripper_Base-1;pixy_base-1,Origin_gripper_base_joint,,gripper_base_joint,fixed,-0.10575,-0.0014342,0,1.6186,-1.5708,0,arm_link_2,0,0,0,,,,,,,,,,,,
gripper_handle_link,1.11862472076951E-06,-4.2727914470464E-07,-0.00233220047683527,0,0,0,0.000623634723201167,1.56071870947179E-08,-1.31823523713639E-15,-5.45981322565633E-13,1.56071803442588E-08,-5.82801102072764E-14,3.02526102531486E-08,0,0,0,0,0,0,package://robot - new/meshes/gripper_handle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot - new/meshes/gripper_handle_link.STL,,horn-1,Origin_gripper_handle_joint,Axis_gripper_handle_joint,gripper_handle_joint,revolute,0,-0.0379,0.0236,-3.1416,0,2.1394,gripper_base_link,0,0,1,0,0,0,3.14,,,,,,,,
